date,bucket,node_hours,usd,basis
2026-08-30,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-30,base,0.0,0.6083,estimated:load-balancers
2026-08-30,base,0.0,6.7619,estimated:oss-cluster
2026-08-30,base,0.0,2.8151,estimated:snapshots
2026-08-30,base,0.0,24.137,estimated:storage
2026-08-30,base,240.0,32.4298,measured
2026-08-30,cpu,63.0,17.8023,measured
2026-08-30,gpu,8.25,7.1757,measured
2026-08-31,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-31,base,0.0,0.6083,estimated:load-balancers
2026-08-31,base,0.0,6.7619,estimated:oss-cluster
2026-08-31,base,0.0,2.8151,estimated:snapshots
2026-08-31,base,0.0,24.137,estimated:storage
2026-08-31,base,240.0,32.4298,measured
2026-08-31,cpu,182.25,51.4995,measured
2026-08-31,gpu,12.25,10.6549,measured
2026-09-01,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-01,base,0.0,0.6083,estimated:load-balancers
2026-09-01,base,0.0,6.7619,estimated:oss-cluster
2026-09-01,base,0.0,2.8151,estimated:snapshots
2026-09-01,base,0.0,24.137,estimated:storage
2026-09-01,base,256.67,34.6819,measured
2026-09-01,cpu,131.5,37.1587,measured
2026-09-01,gpu,54.5,47.4034,measured
2026-09-02,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-02,base,0.0,0.6083,estimated:load-balancers
2026-09-02,base,0.0,6.7619,estimated:oss-cluster
2026-09-02,base,0.0,2.8151,estimated:snapshots
2026-09-02,base,0.0,24.137,estimated:storage
2026-09-02,base,240.0,32.4298,measured
2026-09-02,cpu,253.75,71.7037,measured
2026-09-02,gpu,14.33,12.4667,measured
2026-09-03,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-03,base,0.0,0.6083,estimated:load-balancers
2026-09-03,base,0.0,6.7619,estimated:oss-cluster
2026-09-03,base,0.0,2.8151,estimated:snapshots
2026-09-03,base,0.0,24.137,estimated:storage
2026-09-03,base,240.0,32.4298,measured
2026-09-03,cpu,110.25,31.154,measured
2026-09-03,gpu,62.08,53.999,measured
2026-09-04,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-04,base,0.0,0.6083,estimated:load-balancers
2026-09-04,base,0.0,6.7619,estimated:oss-cluster
2026-09-04,base,0.0,2.8151,estimated:snapshots
2026-09-04,base,0.0,24.137,estimated:storage
2026-09-04,base,239.17,32.3172,measured
2026-09-04,cpu,172.33,48.6972,measured
2026-09-04,gpu,18.83,16.3807,measured
2026-09-05,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-05,base,0.0,0.6083,estimated:load-balancers
2026-09-05,base,0.0,6.7619,estimated:oss-cluster
2026-09-05,base,0.0,2.8151,estimated:snapshots
2026-09-05,base,0.0,24.137,estimated:storage
2026-09-05,base,239.17,32.3172,measured
2026-09-05,cpu,47.83,13.5165,measured
2026-09-05,gpu,4.75,4.1315,measured
2026-09-06,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-06,base,0.0,0.6083,estimated:load-balancers
2026-09-06,base,0.0,6.7619,estimated:oss-cluster
2026-09-06,base,0.0,2.8151,estimated:snapshots
2026-09-06,base,0.0,24.137,estimated:storage
2026-09-06,base,240.0,32.4298,measured
2026-09-06,cpu,69.42,19.6156,measured
2026-09-06,gpu,7.67,6.6687,measured
2026-09-07,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-07,base,0.0,0.6083,estimated:load-balancers
2026-09-07,base,0.0,6.7619,estimated:oss-cluster
2026-09-07,base,0.0,2.8151,estimated:snapshots
2026-09-07,base,0.0,24.137,estimated:storage
2026-09-07,base,240.0,32.4298,measured
2026-09-07,cpu,132.33,37.3941,measured
2026-09-07,gpu,2.17,1.8848,measured
2026-09-08,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-08,base,0.0,0.6083,estimated:load-balancers
2026-09-08,base,0.0,6.7619,estimated:oss-cluster
2026-09-08,base,0.0,2.8151,estimated:snapshots
2026-09-08,base,0.0,24.137,estimated:storage
2026-09-08,base,240.0,32.4298,measured
2026-09-08,cpu,181.08,51.1697,measured
2026-09-08,gpu,63.17,54.9418,measured
2026-09-09,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-09,base,0.0,0.6083,estimated:load-balancers
2026-09-09,base,0.0,6.7619,estimated:oss-cluster
2026-09-09,base,0.0,2.8151,estimated:snapshots
2026-09-09,base,0.0,24.137,estimated:storage
2026-09-09,base,240.0,32.4298,measured
2026-09-09,cpu,174.0,49.1682,measured
2026-09-09,gpu,71.67,62.335,measured
2026-09-10,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-10,base,0.0,0.6083,estimated:load-balancers
2026-09-10,base,0.0,6.7619,estimated:oss-cluster
2026-09-10,base,0.0,2.8151,estimated:snapshots
2026-09-10,base,0.0,24.137,estimated:storage
2026-09-10,base,240.0,32.4298,measured
2026-09-10,cpu,81.17,22.9358,measured
2026-09-10,gpu,95.17,82.775,measured
2026-09-11,base,0.0,2.4,estimated:gke-cluster-fee
2026-09-11,base,0.0,0.6083,estimated:load-balancers
2026-09-11,base,0.0,6.7619,estimated:oss-cluster
2026-09-11,base,0.0,2.8151,estimated:snapshots
2026-09-11,base,0.0,24.137,estimated:storage
2026-09-11,base,240.0,32.4298,measured
2026-09-11,cpu,167.42,47.308,measured
2026-09-11,gpu,44.17,38.4159,measured
